exprhash,RowCount,InputCardinality,RowSql,Column,input,jobid,Op,Value,Selectivity
234388626842304026844118353514313021009107246290,1,12,SELECT COUNT(*) from role_type AS rt WHERE rt.role  = 'actor',rt.role,rt,0,=,'actor',0.08333333333333333
234388626842304026844118353514313021009107246290,1,12,SELECT COUNT(*) from role_type AS rt WHERE rt.role  = 'miscellaneous crew',rt.role,rt,0,=,'miscellaneous crew',0.08333333333333333
201247606223691005679595717410545984913115377236,1,113,SELECT COUNT(*) from info_type AS it1 WHERE it1.id = '3',it1.id,it,0,=,'3',0.008849557522123894
1445181067565615963714989244604800786123047056644,289101,14835720,SELECT COUNT(*) from movie_info AS mi2 WHERE mi2.info  = 'Black and White',mi2.info,mi,0,=,'Black and White',0.019486819648793587
1445181067565615963714989244604800786123047056644,1006423,14835720,SELECT COUNT(*) from movie_info AS mi2 WHERE mi2.info  = 'Color',mi2.info,mi,0,=,'Color',0.06783782654296522
1333422666374384445257481059356447143403429617557,1,7,SELECT COUNT(*) from kind_type AS kt WHERE kt.kind  = 'episode',kt.kind,kt,0,=,'episode',0.14285714285714285
1333422666374384445257481059356447143403429617557,1,7,SELECT COUNT(*) from kind_type AS kt WHERE kt.kind  = 'tv movie',kt.kind,kt,0,=,'tv movie',0.14285714285714285
1352542446783672726478099788649831742465084335914,381430,2528312,SELECT COUNT(*) from title AS t WHERE t.production_year <= 1970,t.production_year,t,0,<=,1970,0.15086350102360785
1352542446783672726478099788649831742465084335914,164184,2528312,SELECT COUNT(*) from title AS t WHERE t.production_year < 1950,t.production_year,t,0,<,1950,0.06493818800844199
550750175548628326687047941186800664069875408065,1,113,SELECT COUNT(*) from info_type AS it2 WHERE it2.id = '2',it2.id,it,0,=,'2',0.008849557522123894
915029170915645337045155848430817461122198949223,47569,14835720,SELECT COUNT(*) from movie_info AS mi1 WHERE mi1.info  = 'Action',mi1.info,mi,0,=,'Action',0.003206382972986818
915029170915645337045155848430817461122198949223,29637,14835720,SELECT COUNT(*) from movie_info AS mi1 WHERE mi1.info  = 'Adventure',mi1.info,mi,0,=,'Adventure',0.0019976785757617427
915029170915645337045155848430817461122198949223,162019,14835720,SELECT COUNT(*) from movie_info AS mi1 WHERE mi1.info  = 'Documentary',mi1.info,mi,0,=,'Documentary',0.010920872057439747
915029170915645337045155848430817461122198949223,47386,14835720,SELECT COUNT(*) from movie_info AS mi1 WHERE mi1.info  = 'Romance',mi1.info,mi,0,=,'Romance',0.0031940478790378896
915029170915645337045155848430817461122198949223,360844,14835720,SELECT COUNT(*) from movie_info AS mi1 WHERE mi1.info  = 'Short',mi1.info,mi,0,=,'Short',0.024322648310968392
