filtersql,jobid,input,alias,exprhash,unique_filter_cols,discrete_ops,cont_ops,like_ops,is_id,num_unique_ops,num_ops,num_discrete_consts,num_likes,like_lens,InputCardinality,Selectivity,RowCount,workload,db
SELECT COUNT(*) from info_type AS it1 WHERE it1.id in ('4'),0,it,it1,201247606223691005679595717410545984913115377236,1,1,0,0,0,1,1,1,0,0,113,0.008849557522123894,1,ceb,ceb
SELECT COUNT(*) from name AS n WHERE n.name like '%lise%',0,n,n,1412706111350165054529954383171903240337882399016,1,0,0,1,0,1,1,0,1,8,1736455,0.0015715926989181982,2729,ceb,ceb
"SELECT COUNT(*) from kind_type AS kt WHERE kt.kind in ('tv series','video game','video movie')",0,kt,kt,1333422666374384445257481059356447143403429617557,1,1,0,0,0,1,3,3,0,0,7,0.42857142857142855,3,ceb,ceb
"SELECT COUNT(*) from movie_info AS mi1 WHERE mi1.info in ('Danish','Spanish')",0,mi,mi1,915029170915645337045155848430817461122198949223,1,1,0,0,0,1,2,2,0,0,6181550,0.015892939473109494,98243,ceb,ceb
"SELECT COUNT(*) from role_type AS rt WHERE rt.role in ('director','editor','miscellaneous crew','producer','production designer')",0,rt,rt,234388626842304026844118353514313021009107246290,1,1,0,0,0,1,5,5,0,0,12,0.4166666666666667,5,ceb,ceb
"SELECT COUNT(*) from company_name AS cn WHERE cn.name in ('American Broadcasting Company (ABC)','Columbia Broadcasting System (CBS)','National Broadcasting Company (NBC)')",1,cn,cn,925964089616316392877905884386968360949127693770,1,1,0,0,0,1,3,3,0,0,138234,2.1702330830331178e-05,3,ceb,ceb
SELECT COUNT(*) from title AS t WHERE t.production_year <= 1990 AND t.production_year >= 1950,1,t,t,951838120422219244428823660403672919492071030917,1,0,1,0,0,2,2,0,0,0,1053463,0.5154447759437208,543002,ceb,ceb
SELECT COUNT(*) from info_type AS it1 WHERE it1.id in ('1'),1,it,it1,1210814573545184632437131304767956471066998613252,1,1,0,0,0,1,1,1,0,0,113,0.008849557522123894,1,ceb,ceb
"SELECT COUNT(*) from name AS n WHERE n.gender in ('f') AND n.surname_pcode in ('B42','B65','F652','H2','H4','J52','L2','L5','R2','S53','W3','W42')",1,n,n,845697540102295928657811596227970506096002273384,2,1,0,0,0,1,13,13,0,0,1736455,0.1540293298703393,267465,ceb,ceb
SELECT COUNT(*) from company_type AS ct WHERE ct.kind in ('distributors'),1,ct,ct,504334455658522184764374265934773148380230148126,1,1,0,0,0,1,1,1,0,0,4,0.25,1,ceb,ceb
"SELECT COUNT(*) from kind_type AS kt WHERE kt.kind in ('episode','tv series')",1,kt,kt,261319378975483853722178487332059663736625857792,1,1,0,0,0,1,2,2,0,0,7,0.2857142857142857,2,ceb,ceb
"SELECT COUNT(*) from movie_info AS mi1 WHERE mi1.info in ('25','30','60','Argentina:30')",1,mi,mi1,648840168530145489155498068332217171541974777094,1,1,0,0,0,1,4,4,0,0,6181550,0.01643228640066003,101577,ceb,ceb
"SELECT COUNT(*) from role_type AS rt WHERE rt.role in ('actress','costume designer','writer')",1,rt,rt,1129807898000370683238684819669343140232899186563,1,1,0,0,0,1,3,3,0,0,12,0.25,3,ceb,ceb
